"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.543,0.672,0,-7.399,1,0.0344,0.00844,0.00672,0.188,0.144,88.956,214498,4,"Just Before The Morning","Gab"
0.768,0.947,7,-6.128,1,0.156,0.0492,0.148,0.198,0.549,122.011,194754,4,"Love You Better","Gab"
0.877,0.665,5,-6.597,0,0.191,0.0586,0.012,0.0685,0.786,125.017,154860,4,"People Ain't Dancing (feat. Kah-Lo)","Gab"
0.702,0.912,9,-8.687,0,0.0652,0.0773,0.309,0.0926,0.957,128.018,200551,4,"Lauren (I Can't Stay Forever)","Gab"
0.351,0.41,2,-8.66,1,0.0327,0.494,0.44,0.131,0.129,125.995,222026,4,"Swan Upon Leda","Gab"
0.448,0.352,0,-11.504,1,0.047,0.813,0.00119,0.14,0.221,72.111,185147,3,"Arcade","Gab"
0.34,0.437,10,-7.525,1,0.0364,0.531,0,0.208,0.625,154.576,169922,4,"back to you","Gab"
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,273480,4,"Welcome To The Jungle","Gab"
0.924,0.716,8,-7.158,0,0.0541,0.0177,1.15e-06,0.128,0.48,119.973,122880,4,"Violet","Gab"
0.756,0.85,4,-4.116,0,0.196,0.000229,0.198,0.579,0.472,128.023,336094,4,"The Boxer (SCNDL Remix)","Gab"
0.609,0.94,10,-6.097,1,0.0617,0.00124,0.269,0.15,0.238,128.001,188592,4,"Miracle Maker","Gab"
0.726,0.691,8,-8.033,1,0.0337,0.011,0.294,0.0916,0.118,119.996,292045,4,"Until the Sun Needs to Rise","Gab"
0.638,0.609,7,-7.332,1,0.0295,0.112,0.127,0.115,0.31,117.981,314389,4,"Next to Me","Gab"
0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044,261001,4,"On My Knees","Gab"
0.725,0.615,5,-7.217,1,0.0453,0.02,0.00821,0.138,0.411,124.987,144960,4,"Good for Me (feat. Anna Straker)","Gab"
0.889,0.871,11,-5.349,0,0.149,0.00176,0.586,0.279,0.491,124.008,178909,4,"Chill Like That","Gab"
0.685,0.742,8,-5.832,1,0.0452,0.00153,0.896,0.0905,0.541,125.004,355200,4,"Everything Is Burning","Gab"
0.776,0.882,1,-3.989,0,0.325,0.436,3.33e-06,0.11,0.46,112.835,195830,4,"Vibe (feat. Popcaan)","Gab"
0.82,0.682,0,-8.146,1,0.0514,0.0196,0.804,0.104,0.439,123.976,235537,4,"I'm Solo","Gab"
0.781,0.783,11,-8.148,0,0.115,0.48,0.833,0.11,0.362,118.048,240000,4,"Promethium Reprise","Gab"
0.714,0.6,8,-10.429,1,0.0484,0.322,0.744,0.122,0.598,123.973,249919,4,"Too Soon","Gab"
0.769,0.517,0,-9.419,0,0.543,0.373,0,0.595,0.846,114.991,179413,4,"Control","Gab"
0.795,0.825,2,-9.853,1,0.164,0.0634,0.156,0.326,0.256,121.991,208005,4,"Needs & Wants","Gab"
